,label,text,text_clean,remove_stop
10,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","['URGENT', 'You', 'have', 'won', 'a', '1', 'week', 'FREE', 'membership', 'in', 'our', '100000', 'Prize', 'Jackpot', 'Txt', 'the', 'word', 'CLAIM', 'to', 'No', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['URGENT', 'You', '1', 'week', 'FREE', 'membership', '100000', 'Prize', 'Jackpot', 'Txt', 'word', 'CLAIM', 'No', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']"
11,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","['XXXMobileMovieClub', 'To', 'use', 'your', 'credit', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']","['XXXMobileMovieClub', 'To', 'use', 'credit', 'click', 'WAP', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']"
12,ham,Oh k...i'm watching here:),"['Oh', 'kim', 'watching', 'here']","['Oh', 'kim', 'watching']"
13,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"['Eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'Yes', 'i', 'did', 'He', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['Eh', 'u', 'remember', '2', 'spell', 'name', 'Yes', 'He', 'v', 'naughty', 'make', 'v', 'wet']"
14,ham,Fine if thats the way u feel. Thats the way its gota b,"['Fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'That', 's', 'the', 'way', 'its', 'gota', 'b']","['Fine', 'way', 'u', 'feel', 'That', 'way', 'gota', 'b']"
15,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","['England', 'v', 'Macedonia', 'dont', 'miss', 'the', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'TryWALES', 'SCOTLAND', '4txtú120', 'POBOXox36504W45WQ', '16']","['England', 'v', 'Macedonia', 'dont', 'miss', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', '87077', 'eg', 'ENGLAND', '87077', 'TryWALES', 'SCOTLAND', '4txtú120', 'POBOXox36504W45WQ', '16']"
16,ham,Is that seriously how you spell his name?,"['Is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['Is', 'seriously', 'spell', 'name']"
17,ham,I‘m going to try for 2 months ha ha only joking,"['I', 'm', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['I', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']"
18,ham,So ü pay first lar... Then when is da stock comin...,"['So', 'ü', 'pay', 'first', 'lar', 'Then', 'when', 'is', 'da', 'stock', 'comin']","['So', 'ü', 'pay', 'first', 'lar', 'Then', 'da', 'stock', 'comin']"
19,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"['Aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']","['Aft', 'finish', 'lunch', 'go', 'str', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']"
20,ham,Ffffffffff. Alright no way I can meet up with you sooner?,"['Ffffffffff', 'Alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['Ffffffffff', 'Alright', 'way', 'I', 'meet', 'sooner']"
21,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"['Just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'Im', 'really', 'not', 'hungry', 'tho', 'This', 'sucks', 'Mark', 'is', 'getting', 'worried', 'He', 'knows', 'Im', 'sick', 'when', 'I', 'turn', 'down', 'pizza', 'Lol']","['Just', 'forced', 'eat', 'slice', 'Im', 'really', 'hungry', 'tho', 'This', 'sucks', 'Mark', 'getting', 'worried', 'He', 'knows', 'Im', 'sick', 'I', 'turn', 'pizza', 'Lol']"
22,ham,Lol your always so convincing.,"['Lol', 'your', 'always', 'so', 'convincing']","['Lol', 'always', 'convincing']"
23,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,"['Did', 'you', 'catch', 'the', 'bus', 'Are', 'you', 'frying', 'an', 'egg', 'Did', 'you', 'make', 'a', 'tea', 'Are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', 'Do', 'you', 'feel', 'my', 'Love', '']","['Did', 'catch', 'bus', 'Are', 'frying', 'egg', 'Did', 'make', 'tea', 'Are', 'eating', 'moms', 'left', 'dinner', 'Do', 'feel', 'Love', '']"
24,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","['Im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'Ill', 'let', 'you', 'know', 'if', 'theres', 'room']","['Im', 'back', 'amp', 'packing', 'car', 'Ill', 'let', 'know', 'theres', 'room']"
25,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,"['Ahhh', 'Work', 'I', 'vaguely', 'remember', 'that', 'What', 'does', 'it', 'feel', 'like', 'Lol']","['Ahhh', 'Work', 'I', 'vaguely', 'remember', 'What', 'feel', 'like', 'Lol']"
26,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","['Wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']","['Wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']"
27,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"['Yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'Till', '2', 'But', 'we', 'wont', 'go', 'there', 'Not', 'doing', 'too', 'badly', 'cheers', 'You', '']","['Yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'Till', '2', 'But', 'wont', 'go', 'Not', 'badly', 'cheers', 'You', '']"
28,ham,K tell me anything about you.,"['K', 'tell', 'me', 'anything', 'about', 'you']","['K', 'tell', 'anything']"
29,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"['For', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'Quick', 'have', 'a', 'cuppa']","['For', 'fear', 'fainting', 'housework', 'Quick', 'cuppa']"
30,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"['Thanks', 'for', 'your', 'subscription', 'to', 'Ringtone', 'UK', 'your', 'mobile', 'will', 'be', 'charged', '5month', 'Please', 'confirm', 'by', 'replying', 'YES', 'or', 'NO', 'If', 'you', 'reply', 'NO', 'you', 'will', 'not', 'be', 'charged']","['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'charged', '5month', 'Please', 'confirm', 'replying', 'YES', 'NO', 'If', 'reply', 'NO', 'charged']"
31,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"['Yup', 'Ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ü', 'again', 'Xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']","['Yup', 'Ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'Xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']"
32,ham,"Oops, I'll let you know when my roommate's done","['Oops', 'Ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']","['Oops', 'Ill', 'let', 'know', 'roommates', 'done']"
33,ham,I see the letter B on my car,"['I', 'see', 'the', 'letter', 'B', 'on', 'my', 'car']","['I', 'see', 'letter', 'B', 'car']"
34,ham,Anything lor... U decide...,"['Anything', 'lor', 'U', 'decide']","['Anything', 'lor', 'U', 'decide']"
35,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"['Hello', 'Hows', 'you', 'and', 'how', 'did', 'saturday', 'go', 'I', 'was', 'just', 'texting', 'to', 'see', 'if', 'youd', 'decided', 'to', 'do', 'anything', 'tomo', 'Not', 'that', 'im', 'trying', 'to', 'invite', 'myself', 'or', 'anything']","['Hello', 'Hows', 'saturday', 'go', 'I', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'Not', 'im', 'trying', 'invite', 'anything']"
36,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"['Pls', 'go', 'ahead', 'with', 'watts', 'I', 'just', 'wanted', 'to', 'be', 'sure', 'Do', 'have', 'a', 'great', 'weekend', 'Abiola']","['Pls', 'go', 'ahead', 'watts', 'I', 'wanted', 'sure', 'Do', 'great', 'weekend', 'Abiola']"
37,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","['Did', 'I', 'forget', 'to', 'tell', 'you', 'I', 'want', 'you', 'I', 'need', 'you', 'I', 'crave', 'you', 'But', 'most', 'of', 'all', 'I', 'love', 'you', 'my', 'sweet', 'Arabian', 'steed', 'Mmmmmm', 'Yummy']","['Did', 'I', 'forget', 'tell', 'I', 'want', 'I', 'need', 'I', 'crave', 'But', 'I', 'love', 'sweet', 'Arabian', 'steed', 'Mmmmmm', 'Yummy']"
38,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"['07732584351', 'Rodger', 'Burns', 'MSG', 'We', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'Please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']","['07732584351', 'Rodger', 'Burns', 'MSG', 'We', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'Please', 'call', '08000930705', 'delivery', 'tomorrow']"
39,ham,WHO ARE YOU SEEING?,"['WHO', 'ARE', 'YOU', 'SEEING']","['WHO', 'ARE', 'YOU', 'SEEING']"
40,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,"['Great', 'I', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', 'I', 'am', 'ltgt', 'inches']","['Great', 'I', 'hope', 'like', 'man', 'well', 'endowed', 'I', 'ltgt', 'inches']"
41,ham,No calls..messages..missed calls,"['No', 'callsmessagesmissed', 'calls']","['No', 'callsmessagesmissed', 'calls']"
42,ham,Didn't you get hep b immunisation in nigeria.,"['Didnt', 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria']","['Didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']"
43,ham,"Fair enough, anything going on?","['Fair', 'enough', 'anything', 'going', 'on']","['Fair', 'enough', 'anything', 'going']"
44,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","['Yeah', 'hopefully', 'if', 'tyler', 'cant', 'do', 'it', 'I', 'could', 'maybe', 'ask', 'around', 'a', 'bit']","['Yeah', 'hopefully', 'tyler', 'cant', 'I', 'could', 'maybe', 'ask', 'around', 'bit']"
45,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,"['U', 'dont', 'know', 'how', 'stubborn', 'I', 'am', 'I', 'didnt', 'even', 'want', 'to', 'go', 'to', 'the', 'hospital', 'I', 'kept', 'telling', 'Mark', 'Im', 'not', 'a', 'weak', 'sucker', 'Hospitals', 'are', 'for', 'weak', 'suckers']","['U', 'dont', 'know', 'stubborn', 'I', 'I', 'didnt', 'even', 'want', 'go', 'hospital', 'I', 'kept', 'telling', 'Mark', 'Im', 'weak', 'sucker', 'Hospitals', 'weak', 'suckers']"
46,ham,What you thinked about me. First time you saw me in class.,"['What', 'you', 'thinked', 'about', 'me', 'First', 'time', 'you', 'saw', 'me', 'in', 'class']","['What', 'thinked', 'First', 'time', 'saw', 'class']"
47,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","['A', 'gram', 'usually', 'runs', 'like', 'ltgt', 'a', 'half', 'eighth', 'is', 'smarter', 'though', 'and', 'gets', 'you', 'almost', 'a', 'whole', 'second', 'gram', 'for', 'ltgt']","['A', 'gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']"
48,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"['K', 'fyi', 'x', 'has', 'a', 'ride', 'early', 'tomorrow', 'morning', 'but', 'hes', 'crashing', 'at', 'our', 'place', 'tonight']","['K', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'hes', 'crashing', 'place', 'tonight']"
49,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","['Wow', 'I', 'never', 'realized', 'that', 'you', 'were', 'so', 'embarassed', 'by', 'your', 'accomodations', 'I', 'thought', 'you', 'liked', 'it', 'since', 'i', 'was', 'doing', 'the', 'best', 'i', 'could', 'and', 'you', 'always', 'seemed', 'so', 'happy', 'about', 'the', 'cave', 'Im', 'sorry', 'I', 'didnt', 'and', 'dont', 'have', 'more', 'to', 'give', 'Im', 'sorry', 'i', 'offered', 'Im', 'sorry', 'your', 'room', 'was', 'so', 'embarassing']","['Wow', 'I', 'never', 'realized', 'embarassed', 'accomodations', 'I', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'Im', 'sorry', 'I', 'didnt', 'dont', 'give', 'Im', 'sorry', 'offered', 'Im', 'sorry', 'room', 'embarassing']"
50,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,"['SMS', 'ac', 'Sptv', 'The', 'New', 'Jersey', 'Devils', 'and', 'the', 'Detroit', 'Red', 'Wings', 'play', 'Ice', 'Hockey', 'Correct', 'or', 'Incorrect', 'End', 'Reply', 'END', 'SPTV']","['SMS', 'ac', 'Sptv', 'The', 'New', 'Jersey', 'Devils', 'Detroit', 'Red', 'Wings', 'play', 'Ice', 'Hockey', 'Correct', 'Incorrect', 'End', 'Reply', 'END', 'SPTV']"
51,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,"['Do', 'you', 'know', 'what', 'Mallika', 'Sherawat', 'did', 'yesterday', 'Find', 'out', 'now', 'ltURLgt']","['Do', 'know', 'Mallika', 'Sherawat', 'yesterday', 'Find', 'ltURLgt']"
52,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","['Congrats', '1', 'year', 'special', 'cinema', 'pass', 'for', '2', 'is', 'yours', 'call', '09061209465', 'now', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'etc', 'all', '4', 'FREE', 'bx420ip45we', '150pm', 'Dont', 'miss', 'out', '']","['Congrats', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'etc', '4', 'FREE', 'bx420ip45we', '150pm', 'Dont', 'miss', '']"
53,ham,"Sorry, I'll call later in meeting.","['Sorry', 'Ill', 'call', 'later', 'in', 'meeting']","['Sorry', 'Ill', 'call', 'later', 'meeting']"
54,ham,Tell where you reached,"['Tell', 'where', 'you', 'reached']","['Tell', 'reached']"
55,ham,Yes..gauti and sehwag out of odi series.,"['Yesgauti', 'and', 'sehwag', 'out', 'of', 'odi', 'series']","['Yesgauti', 'sehwag', 'odi', 'series']"
56,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,"['Your', 'gonna', 'have', 'to', 'pick', 'up', 'a', '1', 'burger', 'for', 'yourself', 'on', 'your', 'way', 'home', 'I', 'cant', 'even', 'move', 'Pain', 'is', 'killing', 'me']","['Your', 'gonna', 'pick', '1', 'burger', 'way', 'home', 'I', 'cant', 'even', 'move', 'Pain', 'killing']"
57,ham,Ha ha ha good joke. Girls are situation seekers.,"['Ha', 'ha', 'ha', 'good', 'joke', 'Girls', 'are', 'situation', 'seekers']","['Ha', 'ha', 'ha', 'good', 'joke', 'Girls', 'situation', 'seekers']"
58,ham,Its a part of checking IQ,"['Its', 'a', 'part', 'of', 'checking', 'IQ']","['Its', 'part', 'checking', 'IQ']"
59,ham,"Sorry my roommates took forever, it ok if I come by now?","['Sorry', 'my', 'roommates', 'took', 'forever', 'it', 'ok', 'if', 'I', 'come', 'by', 'now']","['Sorry', 'roommates', 'took', 'forever', 'ok', 'I', 'come']"
60,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"['Ok', 'lar', 'i', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'he', 'said', 'wun', 'cut', 'v', 'short', 'He', 'said', 'will', 'cut', 'until', 'i', 'look', 'nice']","['Ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'He', 'said', 'cut', 'look', 'nice']"
61,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","['As', 'a', 'valued', 'customer', 'I', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'Mob', 'No', 'you', 'are', 'awarded', 'with', 'a', '1500', 'Bonus', 'Prize', 'call', '09066364589']","['As', 'valued', 'customer', 'I', 'pleased', 'advise', 'following', 'recent', 'review', 'Mob', 'No', 'awarded', '1500', 'Bonus', 'Prize', 'call', '09066364589']"
62,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","['Today', 'is', 'song', 'dedicated', 'day', 'Which', 'song', 'will', 'u', 'dedicate', 'for', 'me', 'Send', 'this', 'to', 'all', 'ur', 'valuable', 'frnds', 'but', 'first', 'rply', 'me']","['Today', 'song', 'dedicated', 'day', 'Which', 'song', 'u', 'dedicate', 'Send', 'ur', 'valuable', 'frnds', 'first', 'rply']"
63,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","['Urgent', 'UR', 'awarded', 'a', 'complimentary', 'trip', 'to', 'EuroDisinc', 'Trav', 'AcoEntry41', 'Or', '1000', 'To', 'claim', 'txt', 'DIS', 'to', '87121', '186', '150moreFrmMob', 'ShrAcomOrSglSuplt10', 'LS1', '3AJ']","['Urgent', 'UR', 'awarded', 'complimentary', 'trip', 'EuroDisinc', 'Trav', 'AcoEntry41', 'Or', '1000', 'To', 'claim', 'txt', 'DIS', '87121', '186', '150moreFrmMob', 'ShrAcomOrSglSuplt10', 'LS1', '3AJ']"
64,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","['Did', 'you', 'hear', 'about', 'the', 'new', 'Divorce', 'Barbie', 'It', 'comes', 'with', 'all', 'of', 'Kens', 'stuff']","['Did', 'hear', 'new', 'Divorce', 'Barbie', 'It', 'comes', 'Kens', 'stuff']"
65,ham,I plane to give on this month end.,"['I', 'plane', 'to', 'give', 'on', 'this', 'month', 'end']","['I', 'plane', 'give', 'month', 'end']"
66,ham,Wah lucky man... Then can save money... Hee...,"['Wah', 'lucky', 'man', 'Then', 'can', 'save', 'money', 'Hee']","['Wah', 'lucky', 'man', 'Then', 'save', 'money', 'Hee']"
67,ham,Finished class where are you.,"['Finished', 'class', 'where', 'are', 'you']","['Finished', 'class']"
68,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"['HI', 'BABE', 'IM', 'AT', 'HOME', 'NOW', 'WANNA', 'DO', 'SOMETHING', 'XX']","['HI', 'BABE', 'IM', 'AT', 'HOME', 'NOW', 'WANNA', 'DO', 'SOMETHING', 'XX']"
69,ham,K..k:)where are you?how did you performed?,"['Kkwhere', 'are', 'youhow', 'did', 'you', 'performed']","['Kkwhere', 'youhow', 'performed']"
70,ham,U can call me now...,"['U', 'can', 'call', 'me', 'now']","['U', 'call']"
71,ham,I am waiting machan. Call me once you free.,"['I', 'am', 'waiting', 'machan', 'Call', 'me', 'once', 'you', 'free']","['I', 'waiting', 'machan', 'Call', 'free']"
72,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,"['Thats', 'cool', 'i', 'am', 'a', 'gentleman', 'and', 'will', 'treat', 'you', 'with', 'dignity', 'and', 'respect']","['Thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
73,ham,I like you peoples very much:) but am very shy pa.,"['I', 'like', 'you', 'peoples', 'very', 'much', 'but', 'am', 'very', 'shy', 'pa']","['I', 'like', 'peoples', 'much', 'shy', 'pa']"
74,ham,Does not operate after  &lt;#&gt;  or what,"['Does', 'not', 'operate', 'after', 'ltgt', 'or', 'what']","['Does', 'operate', 'ltgt']"
75,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,"['Its', 'not', 'the', 'same', 'here', 'Still', 'looking', 'for', 'a', 'job', 'How', 'much', 'do', 'Tas', 'earn', 'there']","['Its', 'Still', 'looking', 'job', 'How', 'much', 'Tas', 'earn']"
76,ham,"Sorry, I'll call later","['Sorry', 'Ill', 'call', 'later']","['Sorry', 'Ill', 'call', 'later']"
